DATE,DVD_SH_12M,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,IQ_DIV_SHARE,IQ_TOTAL_REV,IQ_OPER_INC,IQ_EARNING_CO,IQ_NI,IQ_EBITDA,IQ_EBIT,IQ_BASIC_EPS_EXCL,IQ_DILUT_EPS_EXCL,IQ_DILUT_EPS_NORM,IQ_CASH_EQUIV,IQ_TOTAL_CA,IQ_TOTAL_ASSETS,IQ_TOTAL_CL,IQ_TOTAL_LIAB,IQ_BV_SHARE,IQ_TBV,IQ_TOTAL_DEBT,IQ_CASH_OPER,IQ_CAPEX,IQ_CF_SHARE,IQ_RETURN_ASSETS,IQ_RETURN_CAPITAL,IQ_RETURN_EQUITY,IQ_GROSS_MARGIN,IQ_CURRENT_RATIO,IQ_TOTAL_DEBT_CAPITAL
6/30/2000,3.9098,5.06,-5.19,3.95879,165.3121,22.57656,13.73819,13.28281,30.18379,20.765,13.78848,13.43968,12.87274,69.83149,564.81554,1634.67681,755.64748,1266.16547,292.13204,184.21199,520.6137,19.84991,-11.00328,7.8287,3.2352,14.4774,18.532,32.323,0.74746,63.0225
9/29/2000,3.9291,2.77,-5.64,3.85364,166.19068,22.66998,13.7961,13.5382,31.10116,20.85847,13.68667,13.3625,13.05865,71.71944,634.62462,1714.93083,773.64532,1332.4322,299.1397,186.08905,583.47035,21.01845,-10.77707,9.31992,3.0866,14.0801,17.826,30.6346,0.8203,65.0089
12/29/2000,4.238,3.12,-4.42,3.84394,179.12651,22.22939,9.39477,9.75037,33.32325,21.04193,9.85923,9.60829,12.94733,63.87072,666.82288,1778.1715,851.8912,1261.8316,309.59584,176.66679,568.02231,24.71268,-12.86997,8.663,3.0681,11.2114,11.882,28.9654,0.78276,63.6447
3/30/2001,3.7349,3.42,-4.21,3.66848,169.10094,18.82362,8.96544,8.94309,27.86069,16.94445,8.99941,8.77268,10.31728,71.5288,652.33222,1787.64656,780.61775,1377.30327,333.06428,187.94784,609.56841,12.70576,-10.77804,1.12849,2.4227,10.8271,10.7531,26.4952,0.83566,63.6436
6/29/2001,3.7465,3.55,-4.21,3.85485,167.10291,17.65237,4.08403,3.47204,27.33901,16.54705,4.22457,4.03512,9.2344,69.69409,586.82958,1747.73978,753.68583,1337.01914,330.64172,191.6041,625.44247,13.46014,-11.48617,0.29534,2.3417,10.243,4.733,25.9836,0.77861,64.394
9/28/2001,3.7097,1.96,-5.57,3.67307,165.30661,17.2026,5.71455,6.82915,27.63332,16.60633,5.59902,5.42724,9.15002,73.72422,602.11726,1779.12685,779.878,1375.70051,328.30853,182.36632,565.4123,25.85917,-10.62429,14.67453,2.3786,10.3012,6.642,26.2941,0.77207,62.2389
12/31/2001,3.6831,3.45,-5.28,3.79899,164.83401,17.32979,6.48443,5.84744,27.71159,16.14904,6.40296,6.23828,8.93705,72.30933,684.41221,1880.13067,875.78142,1343.46852,323.33783,178.79501,631.78563,29.21194,-9.76528,15.6801,2.1787,8.6065,7.694,27.4794,0.78149,65.1231
3/29/2002,3.7269,3.02,-3.9,3.74063,155.50989,18.93393,8.99685,0.66518,26.31962,16.83763,8.93424,8.74609,10.20848,81.01509,667.55573,1861.89082,801.67292,1463.73843,322.47141,175.84511,651.33531,17.65732,-9.22887,7.65691,2.2528,10.2251,10.6265,27.8048,0.8327,65.8926
6/28/2002,3.7513,3.45,-5.02,3.98959,161.10688,19.86079,6.98323,6.22115,28.40661,18.60199,6.92631,6.75109,10.57311,83.44213,692.75148,1881.48861,814.99034,1493.04097,320.90587,175.63982,664.80289,21.83632,-9.27453,12.16226,2.4975,12.1474,8.3843,26.0952,0.85001,66.4652
9/30/2002,3.8154,2.12,-5.22,3.59758,156.12712,18.7661,8.95481,8.08848,27.53455,17.90397,8.89698,8.72058,10.15199,84.66453,780.99151,2062.39739,861.01528,1558.1692,325.53457,177.54613,685.84787,24.92795,-8.10853,15.39438,2.2346,9.9817,10.6176,28.1014,0.90706,66.8926
