date,px,CF,g,erpb,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21
726838,352.2,3.76219999719958,0.018106807,0.00884222274799619,0.02014,0.02014,0.02014,0.02014,0.02014,0.02014,0.02014,0.02014,0.02014,0.02014,0.02014,0.02014,0.02014,0.02014,0.02014,0.02014,0.02014,0.02014,0.02014,0.02014,0.02014
726845,339.93,3.76219999719958,0.018106807,0.00894727813065707,0.0204275,0.0204275,0.0204275,0.0204275,0.0204275,0.0204275,0.0204275,0.0204275,0.0204275,0.0204275,0.0204275,0.0204275,0.0204275,0.0204275,0.0204275,0.0204275,0.0204275,0.0204275,0.0204275,0.0204275,0.0204275
726852,339.15,3.76219999719958,0.018106807,0.00872569296917077,0.020675,0.020675,0.020675,0.020675,0.020675,0.020675,0.020675,0.020675,0.020675,0.020675,0.020675,0.020675,0.020675,0.020675,0.020675,0.020675,0.020675,0.020675,0.020675,0.020675,0.020675
726859,325.8,3.76219999719958,0.018106807,0.00855847190621323,0.021305,0.021305,0.021305,0.021305,0.021305,0.021305,0.021305,0.021305,0.021305,0.021305,0.021305,0.021305,0.021305,0.021305,0.021305,0.021305,0.021305,0.021305,0.021305,0.021305,0.021305
726866,330.92,3.76219999719958,0.018106807,0.00840657258214756,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275,0.021275
726873,333.62,3.76219999719958,0.018106807,0.00876039754146713,0.0208275,0.0208275,0.0208275,0.0208275,0.0208275,0.0208275,0.0208275,0.0208275,0.0208275,0.0208275,0.0208275,0.0208275,0.0208275,0.0208275,0.0208275,0.0208275,0.0208275,0.0208275,0.0208275,0.0208275,0.0208275
726880,332.72,3.76219999719958,0.018106807,0.00846895362913038,0.02115,0.02115,0.02115,0.02115,0.02115,0.02115,0.02115,0.02115,0.02115,0.02115,0.02115,0.02115,0.02115,0.02115,0.02115,0.02115,0.02115,0.02115,0.02115,0.02115,0.02115
726887,324.15,3.76219999719958,0.018106807,0.00853081610518056,0.0213925,0.0213925,0.0213925,0.0213925,0.0213925,0.0213925,0.0213925,0.0213925,0.0213925,0.0213925,0.0213925,0.0213925,0.0213925,0.0213925,0.0213925,0.0213925,0.0213925,0.0213925,0.0213925,0.0213925,0.0213925
726894,335.54,3.76219999719958,0.018106807,0.0081522013686126,0.02137,0.02137,0.02137,0.02137,0.02137,0.02137,0.02137,0.02137,0.02137,0.02137,0.02137,0.02137,0.02137,0.02137,0.02137,0.02137,0.02137,0.02137,0.02137,0.02137,0.02137
726901,337.93,3.76219999719958,0.018106807,0.00788146632721055,0.02156,0.02156,0.02156,0.02156,0.02156,0.02156,0.02156,0.02156,0.02156,0.02156,0.02156,0.02156,0.02156,0.02156,0.02156,0.02156,0.02156,0.02156,0.02156,0.02156,0.02156
726908,341.91,3.76219999719958,0.018106807,0.00795952533653378,0.02135,0.02135,0.02135,0.02135,0.02135,0.02135,0.02135,0.02135,0.02135,0.02135,0.02135,0.02135,0.02135,0.02135,0.02135,0.02135,0.02135,0.02135,0.02135,0.02135,0.02135
726915,337.22,3.76219999719958,0.018106807,0.00827033089076643,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195
726922,339.94,3.76219999719958,0.018106807,0.00780944666124689,0.021565,0.021565,0.021565,0.021565,0.021565,0.021565,0.021565,0.021565,0.021565,0.021565,0.021565,0.021565,0.021565,0.021565,0.021565,0.021565,0.021565,0.021565,0.021565,0.021565,0.021565
726929,340.08,3.76219999719958,0.018106807,0.00806730813633341,0.0213025,0.0213025,0.0213025,0.0213025,0.0213025,0.0213025,0.0213025,0.0213025,0.0213025,0.0213025,0.0213025,0.0213025,0.0213025,0.0213025,0.0213025,0.0213025,0.0213025,0.0213025,0.0213025,0.0213025,0.0213025
726936,344.34,3.76219999719958,0.018106807,0.00779046799333297,0.02144,0.02144,0.02144,0.02144,0.02144,0.02144,0.02144,0.02144,0.02144,0.02144,0.02144,0.02144,0.02144,0.02144,0.02144,0.02144,0.02144,0.02144,0.02144,0.02144,0.02144
726943,335.12,3.76219999719958,0.018106807,0.00717900808153577,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575
726950,329.11,3.76219999719958,0.018106807,0.00719273010000994,0.0225525,0.0225525,0.0225525,0.0225525,0.0225525,0.0225525,0.0225525,0.0225525,0.0225525,0.0225525,0.0225525,0.0225525,0.0225525,0.0225525,0.0225525,0.0225525,0.0225525,0.0225525,0.0225525,0.0225525,0.0225525
726957,338.39,3.76219999719958,0.018106807,0.00738605823805153,0.02204,0.02204,0.02204,0.02204,0.02204,0.02204,0.02204,0.02204,0.02204,0.02204,0.02204,0.02204,0.02204,0.02204,0.02204,0.02204,0.02204,0.02204,0.02204,0.02204,0.02204
726964,352,3.76219999719958,0.018106807,0.00738590196148939,0.0216025,0.0216025,0.0216025,0.0216025,0.0216025,0.0216025,0.0216025,0.0216025,0.0216025,0.0216025,0.0216025,0.0216025,0.0216025,0.0216025,0.0216025,0.0216025,0.0216025,0.0216025,0.0216025,0.0216025,0.0216025
726971,354.64,3.76219999719958,0.018106807,0.00715239753249569,0.021755,0.021755,0.021755,0.021755,0.021755,0.021755,0.021755,0.021755,0.021755,0.021755,0.021755,0.021755,0.021755,0.021755,0.021755,0.021755,0.021755,0.021755,0.021755,0.021755,0.021755
726978,354.58,3.76219999719958,0.018106807,0.00723922514666439,0.02167,0.02167,0.02167,0.02167,0.02167,0.02167,0.02167,0.02167,0.02167,0.02167,0.02167,0.02167,0.02167,0.02167,0.02167,0.02167,0.02167,0.02167,0.02167,0.02167,0.02167
726985,363.16,3.76219999719958,0.018106807,0.0076065077557117,0.0210475,0.0210475,0.0210475,0.0210475,0.0210475,0.0210475,0.0210475,0.0210475,0.0210475,0.0210475,0.0210475,0.0210475,0.0210475,0.0210475,0.0210475,0.0210475,0.0210475,0.0210475,0.0210475,0.0210475,0.0210475
726992,358.71,3.76219999719958,0.018106807,0.00767735173375222,0.0211075,0.0211075,0.0211075,0.0211075,0.0211075,0.0211075,0.0211075,0.0211075,0.0211075,0.0211075,0.0211075,0.0211075,0.0211075,0.0211075,0.0211075,0.0211075,0.0211075,0.0211075,0.0211075,0.0211075,0.0211075
726999,362.91,3.76219999719958,0.018106807,0.00760127346949453,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106,0.02106
727006,355.43,3.76219999719958,0.018106807,0.00768339149327366,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212
727013,358.02,3.76219999719958,0.018106807,0.0078054311730749,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021
727020,358.42,3.94722019627132,0.01742806725,0.00737033432578398,0.0212625,0.0212625,0.0212625,0.0212625,0.0212625,0.0212625,0.0212625,0.0212625,0.0212625,0.0212625,0.0212625,0.0212625,0.0212625,0.0212625,0.0212625,0.0212625,0.0212625,0.0212625,0.0212625,0.0212625,0.0212625
727027,367.31,3.94722019627132,0.01742806725,0.00723914546813317,0.0211225,0.0211225,0.0211225,0.0211225,0.0211225,0.0211225,0.0211225,0.0211225,0.0211225,0.0211225,0.0211225,0.0211225,0.0211225,0.0211225,0.0211225,0.0211225,0.0211225,0.0211225,0.0211225,0.0211225,0.0211225
727034,361.61,3.94722019627132,0.01742806725,0.0071889896949061,0.021345,0.021345,0.021345,0.021345,0.021345,0.021345,0.021345,0.021345,0.021345,0.021345,0.021345,0.021345,0.021345,0.021345,0.021345,0.021345,0.021345,0.021345,0.021345,0.021345,0.021345
727041,353.44,3.94722019627132,0.01742806725,0.00759571045762361,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195,0.021195
727048,344.86,3.94722019627132,0.01742806725,0.00768590917223658,0.0213875,0.0213875,0.0213875,0.0213875,0.0213875,0.0213875,0.0213875,0.0213875,0.0213875,0.0213875,0.0213875,0.0213875,0.0213875,0.0213875,0.0213875,0.0213875,0.0213875,0.0213875,0.0213875,0.0213875,0.0213875
727055,335.52,3.94722019627132,0.01742806725,0.00745508505908112,0.0219425,0.0219425,0.0219425,0.0219425,0.0219425,0.0219425,0.0219425,0.0219425,0.0219425,0.0219425,0.0219425,0.0219425,0.0219425,0.0219425,0.0219425,0.0219425,0.0219425,0.0219425,0.0219425,0.0219425,0.0219425
